#title	runtime	rating	genre	image_path	imdb_url	soup_url	type
Austin Powers in Goldmember	5640	6.2	Action, Adventure, Comedy, Crime	./images/Austin_Powers_in_Goldmember_(2002).jpg	http://www.imdb.com/title/tt0295178/	https://moviebarcode.tumblr.com/page/4	movie
Eddie the Eagle	6360	7.3	Adventure, Biography, Comedy, Drama, History, Sport	./images/Eddie_the_Eagle_(2016).jpg	http://www.imdb.com/title/tt1083452/	https://moviebarcode.tumblr.com/page/4	movie
Small Soldiers	6480	6.2	Action, Adventure, Comedy, Family, Sci-Fi	./images/Small_Soldiers_(1998).jpg	http://www.imdb.com/title/tt0122718/	https://moviebarcode.tumblr.com/page/4	movie
Der amerikanische Freund	7680	7.4	Crime, Drama, Mystery, Thriller	./images/Der_amerikanische_Freund__The_American_Friend_(1977).jpg	http://www.imdb.com/title/tt0075675/	https://moviebarcode.tumblr.com/page/4	movie
Midnight Special	6720	6.6	Drama, Mystery, Sci-Fi, Thriller	./images/Midnight_Special_(2016).jpg	http://www.imdb.com/title/tt2649554/	https://moviebarcode.tumblr.com/page/4	movie
A Knife for the Ladies	5160	4.5	Drama, Horror, Mystery, Thriller, Western	./images/A_Knife_for_the_Ladies_(1974).jpg	http://www.imdb.com/title/tt0071722/	https://moviebarcode.tumblr.com/page/5	movie
Lover Come Back	6420	7.2	Comedy, Drama, Romance	./images/Lover_Come_Back_(1961).jpg	http://www.imdb.com/title/tt0055100/	https://moviebarcode.tumblr.com/page/5	movie
Mediterranea	6420	6.6	Drama	./images/Mediterranea_(2015).jpg	http://www.imdb.com/title/tt3486542/	https://moviebarcode.tumblr.com/page/5	movie
55 Days at Peking	9240	6.7	Action, Adventure, Drama, History, War	./images/55_Days_at_Peking_(1963).jpg	http://www.imdb.com/title/tt0056800/	https://moviebarcode.tumblr.com/page/5	movie
Hrútar	5580	7.2	Drama	./images/Hrútar__Rams_(2015).jpg	http://www.imdb.com/title/tt3296658/	https://moviebarcode.tumblr.com/page/5	movie
Michael Collins	7980	7.1	Biography, Drama, Thriller, War	./images/Michael_Collins_(1996).jpg	http://www.imdb.com/title/tt0117039/	https://moviebarcode.tumblr.com/page/5	movie
Louder Than Bombs	6540	6.6	Drama	./images/Louder_Than_Bombs_(2015).jpg	http://www.imdb.com/title/tt2217859/	https://moviebarcode.tumblr.com/page/5	movie
Underground	10200	8.1	Comedy, Drama, Fantasy, War	./images/Underground_(1995).jpg	http://www.imdb.com/title/tt0114787/	https://moviebarcode.tumblr.com/page/5	movie
AVP: Alien vs. Predator	6060	5.6	Action, Adventure, Horror, Sci-Fi, Thriller	./images/AVP:_Alien_vs._Predator_(2004).jpg	http://www.imdb.com/title/tt0370263/	https://moviebarcode.tumblr.com/page/5	movie
Le Petit Prince	6480	7.7	Animation, Adventure, Drama, Family, Fantasy	./images/The_Little_Prince_(2015).jpg	http://www.imdb.com/title/tt1754656/	https://moviebarcode.tumblr.com/page/6	movie
Yours, Mine and Ours	6660	7.1	Comedy, Family	./images/Yours,_Mine_and_Ours_(1968).jpg	http://www.imdb.com/title/tt0063829/	https://moviebarcode.tumblr.com/page/6	movie
Austin Powers: The Spy Who Shagged Me	5700	6.6	Action, Adventure, Comedy, Crime	./images/Austin_Powers:_The_Spy_Who_Shagged_Me_(1999).jpg	http://www.imdb.com/title/tt0145660/	https://moviebarcode.tumblr.com/page/6	movie
